;Identifiant_Museofile;Adresse;Commune;Departement;Latitude;Longitude;Nom_officiel_du_musee;Code_Postal;Region_administrative;Type
0;M0967;3 rue Centrale;Lochieu;Ain;45.930633;5.727664;musee du Bugey-Valromey;1260.0;Auvergne-Rhone-Alpes;Museum
1;M0964;34, rue General Delestraint;Bourg-en-Bresse;Ain;46.196543;5.219217;musees des pays de l'Ain;1000.0;Auvergne-Rhone-Alpes;Museum
2;M0965;;Briord;Ain;45.781653;5.458569;musee de la societe d'histoire et d'archeologie;1470.0;Auvergne-Rhone-Alpes;Museum
3;M0971;66 rue Marechal de Lattre-de-Tassigny;Pont-de-Vaux;Ain;46.430076;4.938125;musee Chintreuil;1190.0;Auvergne-Rhone-Alpes;Museum
4;M0974;place de la Republique;Seyssel;Ain;45.959038;5.831489;musee du bois;1420.0;Auvergne-Rhone-Alpes;Museum
5;M0966;Place de l'Eglise;Izernore;Ain;46.219853;5.555588;musee archeologique;1580.0;Auvergne-Rhone-Alpes;Museum
6;M0968;3 montee de l'abbaye;Nantua;Ain;46.152378;5.608744;musee de la resistance et de la deportation de l'Ain;1130.0;Auvergne-Rhone-Alpes;Museum
7;M0970;place du Tilleul;Perouges;Ain;45.903299;5.179502;musee du vieux Perouges;1800.0;Auvergne-Rhone-Alpes;Museum
8;M0973;place Louis-Jourdan;Saint-Paul-de-Varax;Ain;46.098973;5.129264;musee Louis Jourdan;1240.0;Auvergne-Rhone-Alpes;Museum
9;M0975;40 rue Principale;Treffort-Cuisiat;Ain;46.209952;5.243955;musee du Revermont;1000.0;Auvergne-Rhone-Alpes;Museum
10;M1082;34 rue du General-Delestraint;Villars-les-Dombes;Ain;46.005784;5.032151;musee de la Dombes;1330.0;Auvergne-Rhone-Alpes;Museum
11;M0963;63 boulevard de Brou;Bourg-en-Bresse;Ain;46.196549;5.236521;musee de Brou;1000.0;Auvergne-Rhone-Alpes;Museum
12;M0969;Place Georges Pompidou;Oyonnax;Ain;46.26101938;5.648075547;musee du peigne et de la plasturgie;10100.0;Auvergne-Rhone-Alpes;Museum
13;M0972;987 chemin des Seiglieres;Saint-Cyr-sur-Menthon;Ain;46.282489;4.986729;musee de la Bresse - domaine des Planons;1380.0;Auvergne-Rhone-Alpes;Museum
14;M0109;16, avenue Thermale;Vichy;Allier;46.128104;3.419803;musee des arts africains et asiatiques (maison du missionnaire);3200.0;Auvergne-Rhone-Alpes;Museum
15;M0108;place Aristide Briand;Souvigny;Allier;46.534866;3.192356;musee Saint-Marc;3210.0;Auvergne-Rhone-Alpes;Museum
16;M0101;11 route du donjon;Beaulon;Allier;46.466871;3.748142;musee rural de la Sologne bourbonnaise;3470.0;Auvergne-Rhone-Alpes;Museum
17;M0103;Esplanade Pierre Roch Jurien de la Graviere;Gannat;Allier;46.10177624;3.196513714;musee municipal;3800.0;Auvergne-Rhone-Alpes;Museum
18;M0104;3 rue Notre Dame;Montlu�on;Allier;46.341009;2.605724;musee des musiques populaires (vieux chateau);3100.0;Auvergne-Rhone-Alpes;Museum
19;M0102;5 rue Charles-Louis-Philippe;Cerilly;Allier;46.617913;2.823245;musee Charles-Louis Philippe;3350.0;Auvergne-Rhone-Alpes;Museum
20;M0106;Pavillon Anne de Beaujeu. Place du Colonel Laussedat;Moulins;Allier;46.56707;3.331218;musee Anne de Beaujeu;3000.0;Auvergne-Rhone-Alpes;Museum
21;M0107;4, rue Monthyon;Neris-les-Bains;Allier;46.287552;2.662598;musee gallo-romain;3310.0;Auvergne-Rhone-Alpes;Museum
22;M5083;Quartier Villars;Moulins-sur-Allier;Allier;46.560973;3.335798;Centre national du costume de scene et de la scenographie;3000.0;Auvergne-Rhone-Alpes;Museum
23;M0979;154 rue Auguste Vincent;Serrieres;Ardeche;45.317802;4.763253;musee de la batellerie du Rhone;7340.0;Auvergne-Rhone-Alpes;Museum
24;M7058;2 place des Recollets;Privas;Ardeche;44.735836;4.594922;musee de la terre ardechoise;7000.0;Auvergne-Rhone-Alpes;Museum
25;M0978;Site de l'aven d'Orgnac;Orgnac-l'Aven;Ardeche;44.310413;4.425665;Cite de prehistoire;7150.0;Auvergne-Rhone-Alpes;Museum
26;M0981;14, place Auguste Faure;Tournon-sur-Rhone;Ardeche;45.067938;4.831838;musee du Rhone;7300.0;Auvergne-Rhone-Alpes;Museum
27;M0976;15 rue Jean-Baptiste Bechetoille;Annonay;Ardeche;45.240803;4.668129;musee vivarois Cesar Filhol;7100.0;Auvergne-Rhone-Alpes;Museum
28;M0980;Place de la deesse So�o;Soyons;Ardeche;44.887803;4.850777;musee archeologique;7130.0;Auvergne-Rhone-Alpes;Museum
29;M0977;;Les Vans;Ardeche;44.404332;4.131418;musee regional;7140.0;Auvergne-Rhone-Alpes;Museum
30;M1174;Quartier St Pierre - RD 107;Alba-la-Romaine;Ardeche;44.561507;4.592008;museAL musee departemental archeologique;7400.0;Auvergne-Rhone-Alpes;Museum
31;M0114;17, place d'Armes;Saint-Flour;Cantal;45.034016;3.095067;musee Alfred Dou�t;15100.0;Auvergne-Rhone-Alpes;Museum
32;M7018;Chateau Saint-Etienne;Aurillac;Cantal;44.932919;2.444912;musee des sciences;15000.0;Auvergne-Rhone-Alpes;Museum
33;M0110;37 rue des Carmes;Aurillac;Cantal;44.925394;2.441947;musee d'art et d'archeologie;15000.0;Auvergne-Rhone-Alpes;Museum
34;M0112;Bureau de tourisme;Ruynes-en-Margeride;Cantal;45.000522;3.224427;ecomusee de la Margeride;15320.0;Auvergne-Rhone-Alpes;Museum
35;M0113;24 rue Sorel, apt 9;Saint-Flour;Cantal;45.0343;3.092979;musee de la Haute Auvergne;15100.0;Auvergne-Rhone-Alpes;Museum
36;M0987;Place Castellane;Saint-Paul-Trois-Chateaux;Drome;44.349149;4.768163;musee archeologique;26130.0;Auvergne-Rhone-Alpes;Museum
37;M0983;Le village;Grignan;Drome;44.439013;4.873189;musee departemental du chateau;26230.0;Auvergne-Rhone-Alpes;Museum
38;M0986;Rue Bistour;Romans;Drome;45.0431;5.055376;musee de la chaussure;26100.0;Auvergne-Rhone-Alpes;Museum
39;M0982;11 rue Camille Buffardel;Die;Drome;44.75504;5.369785;musee d'histoire et d'archeologie;26150.0;Auvergne-Rhone-Alpes;Museum
40;M0984;19 rue Pierre Julien;Montelimar;Drome;44.556294;4.750056;musee du chateau des Adhemar;26200.0;Auvergne-Rhone-Alpes;Museum
41;M0985;5 place Elisee Monteil;Mours-Saint-Eusebe;Drome;45.07091;5.052549;musee d'art sacre;26540.0;Auvergne-Rhone-Alpes;Museum
42;M0988;4 place des Ormeaux;Valence;Drome;44.931125;4.889563;musee des beaux-arts;26000.0;Auvergne-Rhone-Alpes;Museum
43;M0989;L'Hale;Vassieux-en-Vercors;Drome;44.865703;5.357302;musee du site prehistorique;26420.0;Auvergne-Rhone-Alpes;Museum
44;M0117;14 Avenue de la Gare;Retournac;Haute-Loire;45.202566;4.035268;musee des manufactures de dentelles;43130.0;Auvergne-Rhone-Alpes;Museum
45;M0118;;Saint-Arcons-d'Allier;Haute-Loire;45.067807;3.548896;musee de la ferblanterie;43300.0;Auvergne-Rhone-Alpes;Museum
46;M0116;Jardin Henri Vinay;Le Puy-en-Velay;Haute-Loire;45.03866738;3.883456073;musee Crozatier;43000.0;Auvergne-Rhone-Alpes;Museum
47;M7031;Place de l'Eglise;Chilhac;Haute-Loire;45.148133;3.402324;musee de paleontologie;43380.0;Auvergne-Rhone-Alpes;Museum
48;M0115;Musee ATP;Lavaudieu;Haute-Loire;45.275033;3.434883;musee des arts et traditions populaires;43100.0;Auvergne-Rhone-Alpes;Museum
49;M1053;89 avenue Michel Croz;Chamonix;Haute-Savoie;45.923429;6.871049;musee alpin;74400.0;Auvergne-Rhone-Alpes;Museum
50;M1056;2 rue Blanche;Thones;Haute-Savoie;45.881618;6.324161;musee des Vallees de Thones;74230.0;Auvergne-Rhone-Alpes;Museum
51;M1054;60 allee du chateau;Lovagny;Haute-Savoie;45.89818;6.040579;musee Leon Mares;74330.0;Auvergne-Rhone-Alpes;Museum
52;M1055;5 Place de la Manufacture;Rumilly;Haute-Savoie;45.861683;5.947732;musee de Rumilly et de l'Albanais;74150.0;Auvergne-Rhone-Alpes;Museum
53;M1057;Square Eberbach;Thonon-les-Bains;Haute-Savoie;46.37487;6.48177;musee du Chablais;74200.0;Auvergne-Rhone-Alpes;Museum
54;M1052;Place du chateau;Annecy;Haute-Savoie;45.897263;6.124916;musee-chateau;74000.0;Auvergne-Rhone-Alpes;Museum
55;M0990;43 place du musee;Aoste;Isere;45.587605;5.60661;musee des antiquites gallo-romaines;38490.0;Auvergne-Rhone-Alpes;Museum
56;M0995;20 Grande Rue;Grenoble;Isere;45.191481;5.728083;musee Stendhal;38000.0;Auvergne-Rhone-Alpes;Museum
57;M0999;place de l'Eglise;Hieres-sur-Ambly;Isere;45.797246;5.292625;maison du patrimoine;38118.0;Auvergne-Rhone-Alpes;Museum
58;M1006;place Saint-Pierre;Vienne;Isere;45.523234;4.870694;musee lapidaire Saint-Pierre;38200.0;Auvergne-Rhone-Alpes;Museum
59;M1007;place du Jeu de Paume;Vienne;Isere;45.526967;4.873538;musee du cloitre Saint-Andre-le-Bas;38200.0;Auvergne-Rhone-Alpes;Museum
60;M0992;1 rue Geo-Charles;Echirolles;Isere;45.14935;5.699614;musee Geo-Charles;38130.0;Auvergne-Rhone-Alpes;Museum
61;M0997;place Saint-Laurent;Grenoble;Isere;45.19778;5.731922;musee Saint-Laurent;38000.0;Auvergne-Rhone-Alpes;Museum
62;M1123;Parc des Forges;Allevard-les-Bains;Isere;45.39254316;6.077135438;musee Jadis Allevard;38580.0;Auvergne-Rhone-Alpes;Museum
63;M7038;1 rue Dolomieu;Grenoble;Isere;45.188059;5.735163;museum d'histoire naturelle;38000.0;Auvergne-Rhone-Alpes;Museum
64;M0993;Route du Lac, le Verney;Grand'Maison;Isere;45.147612;6.049634;conservatoire-musee des industries hydroelectriques;38114.0;Auvergne-Rhone-Alpes;Museum
65;M0994;5 place Lavalette;Grenoble;Isere;45.194026;5.732094;musee de Grenoble;38000.0;Auvergne-Rhone-Alpes;Museum
66;M1001;69 rue de La Republique;La Cote-Saint-Andre;Isere;45.393386;5.261189;musee Hector Berlioz;38260.0;Auvergne-Rhone-Alpes;Museum
67;M0991;17 rue Victor Hugo;Bourgoin-Jallieu;Isere;45.586588;5.279159;musee de Bourgoin-Jallieu;38300.0;Auvergne-Rhone-Alpes;Museum
68;M0998;14 rue Hebert;Grenoble;Isere;45.190041;5.735245;musee de la resistance et de la deportation;38000.0;Auvergne-Rhone-Alpes;Museum
69;M1002;Rue du Colonel Escallon;La Mure;Isere;44.904362;5.784427;musee du pays matheysin;38350.0;Auvergne-Rhone-Alpes;Museum
70;M1137;7 place Leon Chaloin;Voiron;Isere;45.356047;5.579652;musee Mainssieux;38500.0;Auvergne-Rhone-Alpes;Museum
71;M0996;30 rue Maurice Gignoux;Grenoble;Isere;45.19518754;5.726944536;musee dauphinois;38031.0;Auvergne-Rhone-Alpes;Museum
72;M1000;;L'Alpe-d'Huez;Isere;45.087019;6.068988;maison du patrimoine de l'Oisans;38750.0;Auvergne-Rhone-Alpes;Museum
73;M1003;Chemin Hebert;La Tronche;Isere;45.205613;5.751334;musee Hebert - d'Uckermann;38700.0;Auvergne-Rhone-Alpes;Museum
74;M1004;;Saint-Pierre-de-Chartreuse;Isere;45.341728;5.814737;musee de la Grande Chartreuse;38380.0;Auvergne-Rhone-Alpes;Museum
75;M1005;place de Miremont;Vienne;Isere;45.524069;4.87462;musee des beaux-arts et d'archeologie;38200.0;Auvergne-Rhone-Alpes;Museum
76;M1008;Domaine de Vizille;Vizille;Isere;45.08753;5.773234;musee departemental de la Revolution fran�aise;38220.0;Auvergne-Rhone-Alpes;Museum
77;M1187;Place de l'eglise;Montferrat (Charavines);Isere;45.428526;5.51555;musee-parc archeologique du lac de Paladru;38850.0;Auvergne-Rhone-Alpes;Museum
78;M1212;;Vif;Isere;45.050408;5.6692;musee Champollion;38450.0;Auvergne-Rhone-Alpes;Museum
79;M1013;456 route du musee;Estivareilles;Loire;45.415906;4.010414;musee de l'armee secrete et de la resistance;42380.0;Auvergne-Rhone-Alpes;Museum
80;M1020;22 rue Anatole France;Roanne;Loire;46.034953;4.069842;musee Joseph Dechelette;42300.0;Auvergne-Rhone-Alpes;Museum
81;M1023;2 Place Comte;Saint-Etienne;Loire;45.431538;4.387485;musee d'art et d'industrie;42000.0;Auvergne-Rhone-Alpes;Museum
82;M1024;La Terrasse;Saint-Etienne;Loire;45.46964794;4.374526863;musee d'art moderne et contemporain de Saint-Etienne Metropole - musee d'art moderne;42006.0;Auvergne-Rhone-Alpes;Museum
83;M1027;place de l'Hotel de Ville;Saint-Germain-Laval;Loire;45.830168;4.010608;musee municipal;42260.0;Auvergne-Rhone-Alpes;Museum
84;M1012;31 rue Martouret;Chazelles-sur-Lyon;Loire;45.638304;4.394089;musee du chapeau;42140.0;Auvergne-Rhone-Alpes;Museum
85;M1029;Quartier Saint-Joseph Place Alex Folleas;Usson-en-Forez;Loire;45.392445;3.943885;musee rural;42550.0;Auvergne-Rhone-Alpes;Museum
86;M1009;89 rue de la Grye;Ambierle;Loire;46.105434;3.896167;musee Alice Taverne;42820.0;Auvergne-Rhone-Alpes;Museum
87;M1011;9 boulevard du General Leclerc;Charlieu;Loire;46.160301;4.17052;musee hospitalier;42190.0;Auvergne-Rhone-Alpes;Museum
88;M1010;9 Boulevard Leclerc;Charlieu;Loire;46.160301;4.17052;musee de la soierie;42190.0;Auvergne-Rhone-Alpes;Museum
89;M1014;3 rue Victor de Laprade;Feurs;Loire;45.744191;4.219803;musee de Feurs;42110.0;Auvergne-Rhone-Alpes;Museum
90;M1017;Rue Florimont Robertet;Montbrison;Loire;45.60543;4.066822;musee de la Diana;42600.0;Auvergne-Rhone-Alpes;Museum
91;M1025;3 Boulevard Franchet d'Esperey;Saint-Etienne;Loire;45.438944;4.376487;musee de la mine;42000.0;Auvergne-Rhone-Alpes;Museum
92;M1016;13 boulevard de la Prefecture;Montbrison;Loire;45.608241;4.06195;musee d'Allard;42600.0;Auvergne-Rhone-Alpes;Museum
93;M1018;Vieux village;Pommiers-en-Forez;Loire;45.830522;4.104776;musee du vieux Pommiers;42260.0;Auvergne-Rhone-Alpes;Museum
94;M1026;1061 route de la Batie d'Urfe;Saint-Etienne-le-Molard;Loire;45.728472;4.078512;chateau de la Bastie d'Urfe;42130.0;Auvergne-Rhone-Alpes;Museum
95;M1028;Place Madeleine Rousseau;Saint-Just-Saint-Rambert;Loire;45.500657;4.242057;musee des civilisations : Daniel Pouget;42170.0;Auvergne-Rhone-Alpes;Museum
96;M0128;10 bis rue Delille;Riom;Puy-de-Dome;45.895037;3.116254;musee regional d'Auvergne;63200.0;Auvergne-Rhone-Alpes;Museum
97;M0130;2 rue des Ecoles;Volvic;Puy-de-Dome;45.872614;3.038881;musee Marcel Sahut;63530.0;Auvergne-Rhone-Alpes;Museum
98;M0121;Place Louis Deteix;Clermont-Ferrand;Puy-de-Dome;45.793027;3.07827;musee d'art Roger-Quillot;63100.0;Auvergne-Rhone-Alpes;Museum
99;M0123;39, rue de la Republique;Lezoux;Puy-de-Dome;45.827628;3.383654;musee de ceramique gallo-romaine;63190.0;Auvergne-Rhone-Alpes;Museum
100;M0124;place de l'Eglise;Marsac-en-Livradois;Puy-de-Dome;45.478967;3.728534;musee des penitents blancs;63940.0;Auvergne-Rhone-Alpes;Museum
101;M0126;Chateau de Murol;Murol;Puy-de-Dome;45.590429;2.921508;musee municipal;63790.0;Auvergne-Rhone-Alpes;Museum
102;M0127;14, rue de l'Hotel de ville;Riom;Puy-de-Dome;45.893874;3.116508;musee Francisque Mandet;63200.0;Auvergne-Rhone-Alpes;Museum
103;M0129;58 rue de la Coutellerie;Thiers;Puy-de-Dome;45.852318;3.548029;musee municipal de la coutellerie;63300.0;Auvergne-Rhone-Alpes;Museum
104;M0125;place de l'Abbaye;Mozac;Puy-de-Dome;45.892133;3.094609;musee lapidaire;63200.0;Auvergne-Rhone-Alpes;Museum
105;M7032;15, rue Bardoux;Clermont-Ferrand;Puy-de-Dome;45.774138;3.088299;museum d'histoire naturelle Lecoq;63000.0;Auvergne-Rhone-Alpes;Museum
106;M7045;Place de la Mairie;Menat;Puy-de-Dome;46.103652;2.904431;musee paleontologique;63560.0;Auvergne-Rhone-Alpes;Museum
107;M0119;53 route nationale;Arlanc;Puy-de-Dome;45.414373;3.724421;musee de la dentelle;63220.0;Auvergne-Rhone-Alpes;Museum
108;M0120;45, rue Ballainvilliers;Clermont-Ferrand;Puy-de-Dome;45.774229;3.0869;musee Bargoin;63000.0;Auvergne-Rhone-Alpes;Museum
109;M1031;20 place des Terreaux;Lyon;Rhone;45.767177;4.833576;musee des beaux-arts;69001.0;Auvergne-Rhone-Alpes;Museum
110;M1032;1 place du Petit College;Lyon;Rhone;45.763856;4.827749;musee Gadagne;69005.0;Auvergne-Rhone-Alpes;Museum
111;M1034;14 avenue Berthelot;Lyon;Rhone;45.747037;4.835797;centre d'histoire de la resistance;69007.0;Auvergne-Rhone-Alpes;Museum
112;M1036;17 rue Cleberg;Lyon;Rhone;45.760529;4.82004;Lugdunum, musee et theatres romains;69005.0;Auvergne-Rhone-Alpes;Museum
113;M1038;34, rue de la Charite;Lyon;Rhone;45.753117;4.831633;musee historique des tissus;69002.0;Auvergne-Rhone-Alpes;Museum
114;M1039;3 quai des Celestins;Lyon;Rhone;45.760912;4.831492;musee des hospices civils de Lyon;69002.0;Auvergne-Rhone-Alpes;Museum
115;M1040;645 rue du Musee 69270 Rochetaillee sur Saone;Rochetaille-sur-Saone;Rhone;45.84492;4.837207;musee Henri Malartre;69270.0;Auvergne-Rhone-Alpes;Museum
116;M1140;Place de l'Hotel de Ville;Amplepuis;Rhone;45.972502;4.331417;musee Barthelemy-Thimonier;69550.0;Auvergne-Rhone-Alpes;Museum
117;M7042;86 quai Perrache;Lyon;Rhone;45.73319;4.818042;musee des Confluences;69002.0;Auvergne-Rhone-Alpes;Museum
118;M1033;quai Charles de Gaulle;Lyon;Rhone;45.784864;4.852921;musee d'art contemporain;69006.0;Auvergne-Rhone-Alpes;Museum
119;M1128;358 avenue de Champagne;Lyon;Rhone;45.790491;4.797411;musee des sapeurs-pompiers de Lyon;69009.0;Auvergne-Rhone-Alpes;Museum
120;M1127;13 rue de la Poulaillerie;Lyon;Rhone;45.764219;4.834752;musee de l'imprimerie et de la communication graphique;69002.0;Auvergne-Rhone-Alpes;Museum
121;M7042;86 quai Perrache;Lyon;Rhone;45.73319;4.818042;musee Guimet;69002.0;Auvergne-Rhone-Alpes;Museum
122;M1030;Place de l'Hotel de Ville;Beaujeu;Rhone;46.154524;4.587482;musee folklorique et des traditions populaires;69430.0;Auvergne-Rhone-Alpes;Museum
123;M1037;34 rue de la charite;Lyon;Rhone;45.75342;4.83153;musee des arts decoratifs;69002.0;Auvergne-Rhone-Alpes;Museum
124;M1041;2 Place Faubert;Villefranche-sur-Saone;Rhone;45.990936;4.721527;musee Paul Dini;69400.0;Auvergne-Rhone-Alpes;Museum
125;M1156;RD 502;Saint-Romain-en-Gal;Rhone;45.52955632679911;4.8731588394774645;musee archeologique;69483.0;Auvergne-Rhone-Alpes;Museum
126;M1185;570 chemin des pierres plantees;Marnand;Rhone;46.037849;4.315548;ecomusee du Haut Beaujolais;69240.0;Auvergne-Rhone-Alpes;Museum
127;M7042;86 quai Perrache;Lyon;Rhone;45.73319;4.818042;museum d'histoire naturelle;69002.0;Auvergne-Rhone-Alpes;Museum
128;M1046;Grande place Conflans;Albertville;Savoie;45.670787;6.397471;musee municipal d'Albertville-Conflans;73200.0;Auvergne-Rhone-Alpes;Museum
129;M1047;Hauteville-Gondon;Bourg-Saint-Maurice;Savoie;45.597053;6.760997;musee du costume;73700.0;Auvergne-Rhone-Alpes;Museum
130;M1048;place du Palais de Justice;Chambery;Savoie;45.567896;5.919306;musee des beaux-arts;73000.0;Auvergne-Rhone-Alpes;Museum
131;M1050;Square de Lannoy de Bissy;Chambery;Savoie;45.571174;5.875158;musee Savoisien;73000.0;Auvergne-Rhone-Alpes;Museum
132;M1051;23 place Saint-Pierre;Moutiers;Savoie;45.483424;6.532778;musee de l'academie de la Val d'Isere;73600.0;Auvergne-Rhone-Alpes;Museum
133;M1044;Place Maurice Mollard;Aix-les-Bains;Savoie;45.68863383;5.915600925;musee archeologique;73103.0;Auvergne-Rhone-Alpes;Museum
134;M1049;890 Chemin des Charmettes;Chambery;Savoie;45.552732;5.93011;musee des Charmettes;73000.0;Auvergne-Rhone-Alpes;Museum
135;M7029;208 avenue de Lyon;Chambery;Savoie;45.563911;5.916266;museum d'histoire naturelle;73000.0;Auvergne-Rhone-Alpes;Museum
136;M1043;Montee de Saint Sigismond - Aime;Aime-en-Tarentaise;Savoie;45.559416;6.651415;musee archeologique et mineralogique Pierre Borrione;73210.0;Auvergne-Rhone-Alpes;Museum
137;M1045;10 boulevard des Cotes;Aix-les-Bains;Savoie;45.692157;5.915578;musee du docteur Faure;73100.0;Auvergne-Rhone-Alpes;Museum
138;M0131;1 route des Trois Ormeaux;Alise-Sainte-Reine;Cote-d'Or;47.536592;4.469595;musee Alesia - centre d'interpretation;21150.0;Bourgogne-Franche-Comte;Museum
139;M0133;Rue d'Enfer - Rue Paradis;Beaune;Cote-d'Or;47.023618;4.837574;musee du vin de Bourgogne;21200.0;Bourgogne-Franche-Comte;Museum
140;M0135;La Grande Forge;Buffon;Cote-d'Or;47.649485;4.260891;musee de la siderurgie en Bourgogne du Nord;21500.0;Bourgogne-Franche-Comte;Museum
141;M0137;1 place de la Ste Chapelle;Dijon;Cote-d'Or;47.321356;5.042873;musee des beaux-arts;21000.0;Bourgogne-Franche-Comte;Museum
142;M0147;3 Rue Jean-Jacques Collenot;Semur-en-Auxois;Cote-d'Or;47.490137;4.336452;musee municipal;21140.0;Bourgogne-Franche-Comte;Museum
143;M1208;15 rue Sainte-Anne;Dijon;Cote-d'Or;47.317559;5.037282;musee d'art sacre;21000.0;Bourgogne-Franche-Comte;Museum
144;M7035;Parc de l'Arquebuse 1 avenue Albert 1er et 14 rue Jehan de Marville;Dijon;Cote-d'Or;47.322357;5.025636;museum d'histoire naturelle;21000.0;Bourgogne-Franche-Comte;Museum
145;M0134;6 boulevard Perpreuil - 19 rue Poterne;Beaune;Cote-d'Or;47.02097;4.839393;musee des beaux-arts;21200.0;Bourgogne-Franche-Comte;Museum
146;M0143;rue du Parc Buffon;Montbard;Cote-d'Or;47.62578588;4.336985936;musee Buffon;21506.0;Bourgogne-Franche-Comte;Museum
147;M0136;14 Rue de la Liberation;Chatillon-sur-Seine;Cote-d'Or;47.863791;4.574632;musee du Chatillonnais;21400.0;Bourgogne-Franche-Comte;Museum
148;M0139;17 rue Sainte-Anne;Dijon;Cote-d'Or;47.317415;5.037131;musee de la vie bourguignonne;21000.0;Bourgogne-Franche-Comte;Museum
149;M0141;Parc Noisot;Fixin;Cote-d'Or;47.245363;4.962515;musee Noisot;21220.0;Bourgogne-Franche-Comte;Museum
150;M0146;3, place du docteur Roclore;Saulieu;Cote-d'Or;47.279459;4.229714;musee Fran�ois Pompon;21210.0;Bourgogne-Franche-Comte;Museum
151;M0140;8, rue Vaillant;Dijon;Cote-d'Or;47.32122;5.043978;musee Rude;21000.0;Bourgogne-Franche-Comte;Museum
152;M1206;6 boulevard Perpreuil - 19 rue Poterne;Beaune;Cote-d'Or;47.02097;4.839393;musee Marey;21200.0;Bourgogne-Franche-Comte;Museum
153;M5011;4, rue des Bons-Enfants;Dijon;Cote-d'Or;47.320958;5.042189;musee national Magnin;21000.0;Bourgogne-Franche-Comte;Museum
154;M0132;Rue du Chateau;Auxonne;Cote-d'Or;47.190963;5.383768;musee Bonaparte;21130.0;Bourgogne-Franche-Comte;Museum
155;M0138;5, rue Docteur Maret;Dijon;Cote-d'Or;47.321873;5.034107;musee archeologique;21000.0;Bourgogne-Franche-Comte;Museum
156;M0142;rue Piron;Montbard;Cote-d'Or;47.624491;4.336901;musee des beaux-arts;21500.0;Bourgogne-Franche-Comte;Museum
157;M0144;12, rue Camille Rodier;Nuits-Saint-Georges;Cote-d'Or;47.138661;4.950405;musee municipal;21700.0;Bourgogne-Franche-Comte;Museum
158;M0145;Place de la Fontaine;Reulle-Vergy;Cote-d'Or;47.187026;4.895293;musee des arts et traditions des Hautes-Cotes;21220.0;Bourgogne-Franche-Comte;Museum
159;M0332;1 place de la Revolution - Place du marche;Besan�on;Doubs;47.240055;6.022938;musee des beaux-arts et d'archeologie;25000.0;Bourgogne-Franche-Comte;Museum
160;M0338;rue du musee;Nancray;Doubs;47.242984;6.18963;musee de plein air des maisons comtoises;25360.0;Bourgogne-Franche-Comte;Museum
161;M0340;2 place d'Ar�on;Pontarlier;Doubs;46.904221;6.354581;musee municipal;25300.0;Bourgogne-Franche-Comte;Museum
162;M0334;2, rue Megevand;Besan�on;Doubs;47.236687;6.022095;musee comtois;25000.0;Bourgogne-Franche-Comte;Museum
163;M0335;99 rue des Fusilles;Besan�on;Doubs;47.22933848;6.035236609;musee de la resistance et de la deportation;25042.0;Bourgogne-Franche-Comte;Museum
164;M0337;Cour du Chateau;Montbeliard;Doubs;47.5095298;6.800857556;musee du chateau;25205.0;Bourgogne-Franche-Comte;Museum
165;M7011;2, rue Megevand;Besan�on;Doubs;47.236687;6.022095;museum d'histoire naturelle;25000.0;Bourgogne-Franche-Comte;Museum
166;M0339;Place Robert Fernier;Ornans;Doubs;47.104874;6.147697;musee Gustave Courbet;25290.0;Bourgogne-Franche-Comte;Museum
167;M0333;96 Grande rue;Besan�on;Doubs;47.235978;6.0268;musee du temps;25000.0;Bourgogne-Franche-Comte;Museum
168;M0336;8 place Saint-Martin;Montbeliard;Doubs;47.509957;6.797684;musee Beurnier-Rossel;25200.0;Bourgogne-Franche-Comte;Museum
169;M0357;6 rue Pigalle;Gray;Haute-Saone;47.446411;5.592781;musee Baron Martin;70100.0;Bourgogne-Franche-Comte;Museum
170;M0354;Chateau de Champlitte;Champlitte;Haute-Saone;47.617066;5.517093;musee departemental Albert Demard;70600.0;Bourgogne-Franche-Comte;Museum
171;M0356;206, le Petit Fahys;Fougerolles;Haute-Saone;47.90731793;6.400821913;ecomusee du pays de la cerise;70220.0;Bourgogne-Franche-Comte;Museum
172;M0355;3 place du 19 mars 1962;Chateau-Lambert;Haute-Saone;47.836247;6.734944;musee departemental de la montagne Albert Demard;70440.0;Bourgogne-Franche-Comte;Museum
173;M0358;36, rue Victor-Genoux;Luxeuil-les-Bains;Haute-Saone;47.816821;6.380482;musee de la Tour des echevins;70300.0;Bourgogne-Franche-Comte;Museum
174;M0359;1 rue des Ursulines;Vesoul;Haute-Saone;47.623695;6.155771;musee municipal Georges Garret;70000.0;Bourgogne-Franche-Comte;Museum
175;M0348;5 rue du Murgin;Moirans-en-Montagne;Jura;46.433004;5.726307;musee du jouet;39260.0;Bourgogne-Franche-Comte;Museum
176;M0351;49 grande rue;Poligny;Jura;46.836426;5.708802;musee municipal;39800.0;Bourgogne-Franche-Comte;Museum
177;M0353;3 Place des Salines;Salins-les-Bains;Jura;46.937242;5.876684;Musee de la Grande Saline;39110.0;Bourgogne-Franche-Comte;Museum
178;M0344;26 rue Baronne-Delort;Champagnole;Jura;46.74651;5.907547;musee municipal d'archeologie;39300.0;Bourgogne-Franche-Comte;Museum
179;M0347;85 rue des Arenes;Dole;Jura;47.089059;5.488205;musee des beaux-arts et d'archeologie;39100.0;Bourgogne-Franche-Comte;Museum
